185,14,51.725000
185,15,52.595000
185,16,47.215000
185,17,49.350000
185,18,47.525000
185,19,47.995000
185,20,47.300000
185,21,50.960000
185,22,37.290000
185,23,34.085000
185,24,34.665000
185,25,32.420000
186,0,35.320000
186,1,31.260000
186,2,29.940000
186,3,32.370000
186,4,34.815000
186,5,33.610000
186,6,35.920000
186,7,31.435000
186,8,32.005000
186,9,33.620000
186,10,32.410000
186,11,32.690000
186,12,30.185000
186,13,32.380000
186,14,32.275000
186,15,31.940000
186,16,30.770000
186,17,34.160000
186,18,32.385000
186,19,32.685000
186,20,34.600000
186,21,34.040000
186,22,33.645000
186,23,34.415000
186,24,34.210000
186,25,36.220000
187,0,29.315000
187,1,31.785000
187,2,31.270000
187,3,31.585000
187,4,33.395000
187,5,34.900000
187,6,31.550000
187,7,31.315000
187,8,34.310000
187,9,36.060000
187,10,32.510000
187,11,33.755000
